student_id,gender,grade,college,major,current_gpa,previous_gpa,fail_risk_level,study_engagement_index,life_regularity_index,mental_health_index,cluster,cluster_name,graduation_achievement,graduation_level,phone_usage_hours,attendance_rate,homework_completion_rate,avg_sleep_hours,social_interaction,psychological_score,stress_level,failed_courses_total,failed_courses_current,credit_completion_rate,cet4_passed,has_scholarship,has_warning_history,is_poverty,family_income_level,native_place_type,is_only_child,hometown
202303020108,男,大三,土木工程学院,工程管理,3.51,3.62,低风险,0.65,0.5899,0.639,3,均衡型,0.8187,良好,6.3,0.788,0.86,7.1,6.2,73.5,4.7,0,0,0.644,1,0,0,1,低,县镇,1,华东
202401020114,女,大二,信息工程学院,软件工程,2.89,3.37,高风险,0.694,0.5874999999999999,0.7333999999999999,3,均衡型,0.4063,严重风险,7.9,0.911,0.839,7.6,7.7,76.1,3.4,4,0,0.406,0,0,0,0,中,县镇,1,东北
202206010304,女,大四,文学院,汉语言文学,3.76,4.14,低风险,0.8295000000000001,0.7061999999999999,0.8284,4,学霸型,0.9023,优秀,4.8,0.879,0.899,7.9,8.3,85.6,2.1,0,0,0.881,1,1,0,1,低,城市,1,西北
202401030106,男,大二,信息工程学院,数据科学与大数据技术,2.77,2.65,高风险,0.6095,0.5995,0.5878000000000001,2,高危型,0.6721,风险,5.9,0.778,0.764,7.2,5.4,66.7,4.7,1,0,0.412,1,0,0,0,高,城市,1,西北
202302020306,男,大三,机械工程学院,机械电子工程,3.13,3.12,高风险,0.5645,0.5655,0.44419999999999993,2,高危型,0.754,良好,6.3,0.85,0.706,6.1,3.2,57.8,6.1,1,1,0.625,1,0,0,0,低,城市,1,华中
202301020209,男,大三,信息工程学院,软件工程,3.89,3.65,低风险,0.7775,0.619,0.7204,0,均衡型,0.6877000000000001,风险,5.8,0.904,0.9,6.7,8.5,72.1,4.1,0,0,0.644,0,0,0,1,低,农村,0,西南
202204030209,男,大四,经济管理学院,会计学,3.91,3.69,低风险,0.8672500000000001,0.7715,0.7166,4,学霸型,0.8223,良好,4.4,0.962,0.865,6.4,7.6,73.4,3.5,2,0,0.856,1,0,0,0,中,城市,1,华北
202502020401,女,大一,机械工程学院,机械电子工程,3.28,3.3,低风险,0.7075,0.5979,0.617,3,均衡型,0.5276,严重风险,8.0,0.907,0.753,7.4,4.4,87.5,5.5,0,0,0.212,0,0,0,0,高,城市,0,华中
202301030301,男,大三,信息工程学院,数据科学与大数据技术,3.53,3.53,中风险,0.7062499999999999,0.6089,0.6400000000000001,3,均衡型,0.5858,风险,6.2,0.819,0.832,7.6,6.9,68.5,4.7,2,0,0.631,0,0,0,0,中,农村,1,华南
202501030203,男,大一,信息工程学院,数据科学与大数据技术,2.76,3.27,中风险,0.7234999999999999,0.6912,0.5876,1,佛系型,0.4998,严重风险,4.3,0.925,0.763,7.8,4.4,70.4,4.2,0,0,0.206,0,1,0,0,低,县镇,1,西南
202206010204,女,大四,文学院,汉语言文学,3.37,3.47,低风险,0.6739999999999999,0.7287,0.5806,1,佛系型,0.5835,风险,3.5,0.861,0.901,7.7,5.3,63.4,4.4,1,0,0.85,0,0,1,0,中,城市,1,西北
202402010109,男,大二,机械工程学院,机械设计制造及其自动化,3.29,3.4,中风险,0.7215,0.6221,0.7154,0,均衡型,0.5102,严重风险,5.9,0.902,0.89,7.0,7.5,83.6,4.8,2,0,0.419,0,0,0,0,中,城市,0,东北
202204020214,女,大四,经济管理学院,市场营销,3.49,3.57,低风险,0.65075,0.623,0.5616,3,均衡型,0.6877,风险,6.3,0.812,0.697,7.2,4.8,74.4,6.0,1,0,0.844,0,0,0,0,高,城市,1,东北
202303010304,女,大三,土木工程学院,土木工程,2.6,3.06,中风险,0.6637500000000001,0.5264,0.6079999999999999,2,高危型,0.5793,风险,9.2,0.839,0.822,7.0,6.0,71.0,5.2,1,0,0.631,0,0,0,1,低,县镇,0,华南
202403020111,男,大二,土木工程学院,工程管理,2.91,3.26,中风险,0.727,0.7603,0.6496000000000001,1,佛系型,0.493,严重风险,5.0,0.836,0.8,7.8,4.4,81.4,3.6,2,0,0.425,0,0,0,0,中,城市,1,华中
202204030106,男,大四,经济管理学院,会计学,3.42,3.3,中风险,0.6007500000000001,0.6156,0.6384,2,高危型,0.6824,风险,7.0,0.767,0.834,6.9,5.5,69.6,3.5,1,0,0.838,0,0,0,0,中,县镇,1,西南
202403010107,男,大二,土木工程学院,土木工程,3.66,3.72,低风险,0.7817500000000002,0.7888999999999999,0.7418,4,学霸型,0.7662,良好,4.5,0.913,0.802,7.8,5.8,82.7,2.1,0,0,0.444,1,1,0,0,中,城市,1,华北
202307010206,男,大三,理学院,应用数学,4.15,3.92,中风险,0.80625,0.6967,0.6689999999999999,4,学霸型,0.5868,风险,6.0,0.852,0.809,7.7,7.2,73.5,4.7,4,1,0.631,1,0,1,0,高,城市,1,东北
202201030203,男,大四,信息工程学院,数据科学与大数据技术,3.28,3.8,低风险,0.734,0.6365,0.6568,3,均衡型,0.829,良好,5.7,0.82,0.934,6.6,5.0,83.2,4.2,1,0,0.85,1,0,0,0,高,城市,1,华中
202506020303,女,大一,文学院,新闻学,3.75,4.11,低风险,0.734,0.757,0.6070000000000001,4,学霸型,0.5532,风险,3.9,0.96,0.906,8.6,5.9,68.5,4.8,0,0,0.219,0,1,0,0,中,城市,0,西南
202401010203,男,大二,信息工程学院,计算机科学与技术,3.62,3.66,低风险,0.72725,0.7419,0.6484,4,学霸型,0.5703,风险,4.8,1.0,0.825,7.6,6.8,61.6,3.4,1,0,0.431,0,0,0,0,中,县镇,1,西南
202406010401,女,大二,文学院,汉语言文学,2.74,3.21,中风险,0.6259999999999999,0.6436,0.6500000000000001,2,高危型,0.6727,风险,4.9,0.815,0.825,7.6,5.7,78.5,4.5,1,0,0.419,1,0,0,0,中,城市,1,西南
202501040308,男,大一,信息工程学院,电子信息工程,3.97,3.91,低风险,0.7647499999999998,0.7416999999999999,0.6479999999999999,4,学霸型,0.6721,风险,4.0,0.853,0.814,7.3,6.4,63.0,3.2,1,0,0.212,1,0,0,0,中,农村,0,华东
202305020109,女,大三,外国语学院,商务英语,3.28,3.5,低风险,0.67325,0.6513,0.6184000000000001,3,均衡型,0.8089999999999999,良好,6.3,0.86,0.913,7.6,6.0,72.1,5.0,0,0,0.65,1,0,0,0,中,县镇,0,华东
202205020306,女,大四,外国语学院,商务英语,3.68,3.82,低风险,0.8275,0.6444000000000001,0.562,0,均衡型,0.7026,良好,6.2,0.884,0.85,8.0,4.8,67.0,5.0,1,0,0.862,0,0,0,0,中,城市,1,华南
202302020210,女,大三,机械工程学院,机械电子工程,3.58,3.8,低风险,0.7605000000000001,0.7723,0.6212,4,学霸型,0.5304,严重风险,5.0,0.859,0.909,6.9,6.2,83.3,6.6,1,0,0.638,0,0,1,0,中,农村,1,华中
